url,type_bien,titre,prix,surface_habitable,surface_terrain,pieces,ville,cp,dpe,ges,features,description,prix_m2,lat,lon
https://www.etreproprio.com/immobilier-24047949-vente-maison-55m-a-bordeaux-bordeaux,Maison,Maison 55m² à bordeaux,346500.0,55.0,182.0,2.0,Bordeaux,33100,D,C,jardin,"33100 BORDEAUX Bastide- Un grand charme pour cette petite maison de ville à vendre bénéficiant d'un superbe jardin sans vis à vis d'environ 150 m².  Bien développant une surface de 55m² comprenant un séjour, cuisine américaine aménagée, chambre, salle de bains + mezzanine (chambre 2) d'environ 10 m² surface au sol).  Excellent état général- Proximité immédiate de la Place Stalingrad, commerces, écoles, transport en commun (BUS et TRAM arrêt ""Stalingrad"" ligne A).  Votre agence ERA RIVE DROITE est spécialisée sur le secteur de BORDEAUX Bastide- Nous vous proposons une estimation gratuite de votre bien immobilier- (TRANSACTION- LOCATION- GESTION LOCATIVE).  L'Etat des Risques et Pollution peut être consulté sur https://www.georisques.gouv.fr",6300.0,44.8456834,-0.553098
https://www.etreproprio.com/immobilier-23486054-vente-bordeaux-centre-coup-de-coeur-maison-pierres-atypique-bordeaux,Maison,Bordeaux centre - coup de coeur maison pierres atypique !,645000.0,133.0,,6.0,Bordeaux,33000,C,C,balcon/terrasse,"Maison en pierres   Bordeaux centre   4 chambres   terrasse   aucun travaux à prévoir Située au cœur de Bordeaux, dans un quartier calme et recherché, proche de toutes commodités, cette maison en pierres pleine de charme séduit par son caractère atypique, son excellent état d’entretien et son confort moderne. Organisée sur 5 demi-niveaux, elle offre une belle surface de 133m2 et une distribution fluide : Séjour lumineux avec conduit de fumée, ouvrant par une grande baie vitrée sur une agréable terrasse sans vis-à-vis, idéale pour les repas d’été ou les moments de détente. Grande cuisine équipée, conviviale, où l’on peut aisément prendre ses repas en famille. Suite parentale indépendante avec sa salle de bains privative et son dressing. Trois chambres d’enfants et seconde salle d’eau. Deux WC, une buanderie complètent l’ensemble. Le confort est assuré grâce à un chauffage au gaz et une climatisation réversible, pour un bien-être optimal en toute saison. Vous serez charmé par sa luminosité et son agencement original, alliant cachet de l’ancien et fonctionnalité contemporaine.  Aucun travaux à prévoir, il ne vous reste qu’à poser vos valises. Bien isolée, vos charges d’électricité et de gaz seront maitrisées. L’estimation du coût annuel d’énergie du logement est entre 1210 € et 1700 € selon le DPE (classée C). (Sur prix de de l’énergie indexés au 1er janvier 2[Coordonnées masquées]3). Un bien rare, idéal pour une famille souhaitant profiter du centre de Bordeaux tout en préservant calme et confort de vie. Taxe foncière : 1991 € Vous l’aurez compris une visite s’impose ! Honoraires d’agence inclus dans le prix de vente à la charge de l’acquéreur de 22000 € TTC soit 3,53%.",4849.624060150376,44.8391049,-0.5814266
https://www.etreproprio.com/immobilier-24046134-vente-bouliac-maison-de-prestige-avec-vue-panoramique-bouliac,Maison,Bouliac   maison de prestige avec vue panoramique,2080000.0,305.0,7403.0,7.0,Bouliac,33270,C,A,"parking, balcon/terrasse, jardin, piscine","NOUVEAUTE ! VILLA DE PRESTIGE AVEC VUE PANORAMIQUE Dans le quartier le plus recherché de Bouliac, je vous invite à découvrir une propriété rare, où le charme, le caractère et la vue se conjuguent à la perfection. Une fois les véhicules stationnés, vous franchirez le portail pour admirer la belle façade de cette maison de caractère. Rien ne laisse présager le spectacle qui vous attend à l’arrière… Entrons. Dès le seuil passé, une élégante entrée s’ouvre sur une vaste pièce de vie baignée de lumière. Votre regard sera naturellement attiré par les grandes baies vitrées offrant une VUE A COUPER LE SOUFFLE sur la nature environnante. Cet espace convivial se prolonge sur une grande terrasse idéale pour profiter des belles journées d’été. Sur la droite, une spacieuse cuisine contemporaine, elle aussi ouverte sur l’extérieur, crée une véritable sensation de dedans-dehors. Un cellier et une buanderie complètent cet espace fonctionnel. Attenante, une grande salle de jeux, pouvant également servir de chambre avec sa salle d’eau, et offrant également de multiples possibilités. Côté entrée, un bureau a été aménagé pour le télétravail ou les moments de calme.  L’aile gauche abrite l’espace nuit.  Le rez-de-chaussée, est composé de trois chambres, dont une suite avec salle d’eau privative. Les deux autres chambres se partagent une seconde salle d’eau. À l’étage, la suite parentale est tout simplement spectaculaire : décoration moderne, double dressing, salle d’eau raffinée… et toujours cette vue exceptionnelle, omniprésente. Les extérieurs, sur un terrain de 2500 m2, sont à la hauteur du PRESTIGE de la maison : terrasse panoramique, piscine à débordement digne des plus belles villas, jacuzzi, plusieurs espaces repas et détente, sans oublier un promontoire suspendu pour profiter pleinement du paysage, en étant seul au monde et pourtant si près de Bordeaux.  La façade arrière, pleine de personnalité, achève de donner à cette maison un cachet unique. Un bien d’exception, rare et inspirant, pour celles et ceux qui rêvent d’un cadre de vie unique.  Si cette propriété vous fait briller les yeux, je serai ravie de vous la faire découvrir.  - Annonce rédigée et publiée par un Agent Mandataire -",6819.672131147541,44.8232589,-0.486424
https://www.etreproprio.com/immobilier-24048450-vente-maison-229m-a-pessac-pessac,Maison,Maison 229m² à pessac,1303125.0,229.0,15500.0,5.0,Pessac,33600,D,B,"parking, balcon/terrasse, jardin, piscine","PESSAC GAZINET. Au cur dun parc avec étang privé, cette maison darchitecte des années 1980 offre un cadre de vie exceptionnel. Baignée de lumière grâce à ses ouvertures traversantes, elle souvre à 360° sur des paysages préservés : champs, forêts et lac. Son agencement original associe la praticité dun plain-pied et la perspective dun étage, procurant une sensation de fluidité unique. Lallée daccueil, en pente douce, conduit à la villa que lon découvre rythmée de baies vitrées. En rez-de-chaussée, un appartement indépendant de 36 m² complète un sous-sol semi-enterré de 208 m². Un bien véritablement hors du commun. . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr. Montant estimé des dépenses annuelles dénergie pour un usage standard : entre 2780 et 3820 Euros/an (année de référence 2023)",5690.5021834061135,44.7856935,-0.6827106
https://www.etreproprio.com/immobilier-24049608-vente-maison-familiale-pessac-pessac,Maison,Maison familiale pessac,470000.0,142.0,541.0,6.0,Pessac,33600,,,"parking, balcon/terrasse, jardin","Immobilier PESSAC - Cap de Bos  Découvrez cette agréable maison d'environ 142 m², idéalement située dans un secteur recherché.  Au rez-de-chaussée, elle se compose d'une véranda d'entrée, d'un spacieux séjour double d'environ 40 m², d'une cuisine indépendante, de trois chambres, d'une salle d'eau, d'un WC ainsi que d'une buanderie de 8 m². A l'étage, un palier aménageable en espace bureau dessert une quatrième chambre et une salle de bains avec WC.  Vous profiterez également d'un garage attenant et d'un jardin arboré agrémenté d'une seconde véranda/serre.  A proximité immédiate des commerces et transports (bus lignes 77 et 78).  DPE en cours",3309.8591549295775,44.7856935,-0.6827106
https://www.etreproprio.com/immobilier-24033075-vente-maison-161m-a-bouliac-bouliac,Maison,Maison 161m² à bouliac,950000.0,161.0,1570.0,5.0,Bouliac,33270,A,A,"parking, balcon/terrasse, jardin, piscine","Votre conseiller immobilier SAFTI, Julien BOURRÉE, vous présente en exclusivité, située à Bouliac (33270), cette maison bénéficie d'un environnement privilégié en campagne, offrant calme et tranquillité. Sa proximité avec les transports en commun ainsi qu'avec les établissements scolaires, en font un lieu idéal pour une vie de famille épanouie. De plus, la présence de la fibre et des commodités telles que la climatisation, l'interphone et le digicode, les panneaux solaires, ajoutent une touche de modernité à cette propriété. L'extérieur de la maison est un véritable havre de paix avec son jardin arboré de 1570 m², son parc paysager, sa grande piscine au sel et son garage spacieux de 40 m². L'exposition Sud-ouest permet de profiter pleinement du soleil tout au long de la journée. À l'intérieur, cette villa de plain pied de 161 m² offre un grand séjour, une cuisine ouverte équipée, 3 chambres avec placard, une salle de bain, une suite parentale avec salle d'eau, dressing et WC. Les 2 toilettes et 2 salles de bain offrent un confort optimal pour toute la famille avec une partie parentale et une partie enfant de part et d'autre de la maison. La climatisation, et la proximité de la gare plairont aux futurs propriétaires en quête de modernité et de praticité. J'attends vos appels afin de vous faire découvrir cette magnifique villa après étude de votre dossier financier. À très vite ! Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 950 000 ¤ Honoraires charge vendeur Contactez votre conseiller SAFTI : Julien BOURRÉE, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 490 405 578. Informations LOI ALUR : Honoraires charge vendeur. (gedeon_26118_32322285)",5900.621118012423,44.8232589,-0.486424
https://www.etreproprio.com/immobilier-23100151-vente-maison-pessac-3-pieces-81m2-pessac,Maison,Maison pessac 3 pièce(s) 81m2,297500.0,81.0,492.0,3.0,Pessac,33600,F,F,"parking, balcon/terrasse, jardin","Immobilier Pessac. Maison de plain-pied à Pessac - Quartier Le Pontet - Beau potentiel !  A vendre, maison individuelle de plain-pied située dans le quartier calme et recherché du Pontet à Pessac. Elle se compose de : 2 chambres, 2 pièces principales, une véranda de 23 M² (non prise en compte dans la surface habitable), un garage, et une dépendance. Possibilité de réagencer les espaces, de créer une 3e chambre ou un bureau. Emplacement idéal : transports à pied (bus, tramway), écoles et commerces à proximité Quartier agréable et résidentiel. Travaux de rénovation à prévoir. Contactez-nous pour plus d'informations ou pour organiser une visite.",3672.8395061728397,44.7856935,-0.6827106
https://www.etreproprio.com/immobilier-22590032-vente-maison-3-chambres-jardin-terrasse-2-places-stationnement-le-haillan,Maison,Maison 3 chambres - jardin - terrasse - 2 places stationnement,360000.0,85.0,,4.0,Le Haillan,33185,C,C,"parking, balcon/terrasse","En Exclusivité, LA CLÉ DU PATRIMOINE vous propose cette charmante maison d'une surface d'environ 84,56 m2 construite en 2021 située au Haillan dans un cadre de vie préservé, à 10 minutes du centre-ville de Bordeaux et à 40 minutes des plages océanes. Entre ville et campagne, la commune est bordée d’importants axes routiers et desservie par la ligne A du Tramway. Cette maison se compose en rez de chaussée, d'une entrée, d'un salon/ salle à manger, d'une cuisine ouverte entièrement aménagée et équipée, d'un rangement/ buanderie, et d'un wc séparé. L'étage dispose de trois belles chambres dont deux avec placards, d'une salle de bains et d'un wc séparé. L'extérieur est constitué d'un agréable jardin d'environ 85 m2 sans vis à vis, d'une terrasse de 9.40 m2. Deux places de parking extérieur complètent le bien. Aucun travaux n'est à prévoir. Taxe foncière : 1520 €. Charges annuelles de copropriété : 860 €. La résidence est entièrement fermée et sécurisée par un portail électrique. Ce logement datant de 2021 est sous garantie décennale. Chauffage gaz. DPE : A GES : C A découvrir sans tarder ! Pour toute question ou pour une visite, je suis à votre disposition. Johanna CLEDOU [Coordonnées masquées]. Mail : [Coordonnées masquées]",4235.294117647059,44.871293,-0.6764975
https://www.etreproprio.com/immobilier-24051578-vente-maison-78m-a-villenave-d-ornon-villenave-d-ornon,Maison,Maison 78m² à villenave-d'ornon,250000.0,78.0,506.0,4.0,Villenave-D'ornon,33140,,,"parking, jardin","Dans un environnement pavillonnaire calme et recherché, sur le secteur de Chambéry à VILLENAVE D'ORNON, cette maison de plain-pied de 78 m² n'attend plus qu'un nouveau projet de vie. Implantée sur une belle parcelle de 500 m², bien exposée, elle offre un cadre agréable et paisible, tout en restant proche des commodités. Dès l'arrivée, on imagine facilement le potentiel de cette maison à repenser entièrement selon ses envies. L'intérieur se compose de trois chambres, d'une salle d'eau, et d'une distribution fonctionnelle, idéale pour créer un espace de vie à votre image. Un garage de 20 m² vient compléter l'ensemble, apportant un vrai confort au quotidien ou un espace supplémentaire à aménager. Cette maison s'adresse aux amateurs de rénovation, à ceux qui souhaitent laisser libre cours à leur imagination et façonner un bien unique, que ce soit pour une résidence principale ou un projet patrimonial. Un bien à fort potentiel, dans un secteur calme et apprécié. À visiter sans tarder. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 250 000 ¤ Honoraires charge vendeur Contactez votre conseiller SAFTI : Kelly BONNORD, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de Bordeaux sous le numéro 887579340. Informations LOI ALUR : Honoraires charge vendeur. (gedeon_26118_32334351)",3205.128205128205,44.7641402,-0.5509125
https://www.etreproprio.com/immobilier-24045654-vente-maison-de-maitre-avec-parc-arbore-talence,Maison,Maison de maître avec parc arboré,888250.0,190.0,1900.0,8.0,Talence,33400,E,D,"parking, balcon/terrasse, jardin, piscine","Exclusivité Blottière Immobilier - Visite 360o et Vidéo disponibles sur demande. Découvrez un bien d'exception avec cette maison de maître dotée d'un véritable parc privé et arboré de 1900 m2, rarissime sur Bordeaux et ville limitrophes. Le jardin d'accueil vous propose un confortable recule de rue vous offrant la possibilité de stationner plusieurs véhicules. Sur l'arrière, vous profiterez d'une magnifique perspective sur le parc ensoleillé muni de multiples arbres et d'une piscine. La bâtisse imposante développe 190 m2 habitables plus 100 m2 de sous-sol. L'entrée donne le ton avec un sol et un bel escalier en marbre. Cuisine séparée et vaste pièce de vie 57 m2 ouverte sur une terrasse et le jardin et exposé Ouest. La partie nuit se situe à l'étage avec 5 grandes chambres, 2 salles de bains et 2 wc. Enfin, le sous-sol offre un garage ainsi qu'un grand espace de stockage ou autres pièces à aménager en fonction de vos besoins. Des travaux intérieurs sont à prévoir, vous offrant la possibilité de sublimer cette demeure. Base structurelle très saine.",4675.0,44.8059703,-0.5892211
